comment_text,labels
""", 18 February 2012 (UTC)
Ok, I'm sorry for the ad hom. You're not racist famousdog, I retract that assertion. However, this topic is not purely a scientific matter, and should not be evaluated as such. This article should NOT read like its straight line for line copied from a """"Quack-buster"""" website, and we need to show a LOT more cultural sensitivity and acceptance of foreign and historical culture's modes of thinking and intellectual paradigms.  05:56""",0
"""

Soxwon is causing trouble
Soxwon keeps reverting the H&K; passage, which is discussed ad nauseam above. Soxwon has NOT contributed to any discussions of content and seems to be a trouble maker on other sights.  The following quote is from my talk page regarding Soxwon: """"Professor Todd, I suggest you report any conflict you are having with Soxwon to an admin and not engage in an edit war with him. He has a habit of instigating and I believe that he has more than one account.Galraedia (talk) """"""",0
I would rather die than be unblocked.,0
penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~penis 8===D~~,1
"? 

It is brutal how you believe that this word is false. I am british so i would know that it is a real word used in britain all of the time. it is like the word unfair, but maybe you wouldnt know that! it is slang for unfair. please do not delete it",0
unblock me because I am sorry and will stop as of now,0
""" 
The article meets notability guidelines, which I will explain to him shortly. If there's no open period for discussion, then the judgment of notability is by fiat rather than an open process. It's elitist, and it drives away contributors in favor of anti-social nerds. And you meant """"too fast."""" I edited it for you. ~~~~
""",0
"you are a twat 

I am an avid World of Warcraft fan, 

yeah that figures.

You soft headed American fuckwit",1
"Just drop it, dude. The article's point-of-view is already set in stone and is not going to be npov, ever. If Obama himself were to declare that he did practice Islam or was born somewhere other than Hawaii, or was close friends with Ayers or did attend Wright's church, it's still not going in the article. Let it be. Just... let it go.",0
"Glad you have had pleasure from St Dildo, Brian. We like to keep you and 'Dave' entertained, as you do us with your creative 'neo-futurist' use of English. Now, back to the point at hand, what is your cogent argument in response to the evidence in Irish nationality law that Phil was legally entitled to Irish nationality. Do you have any evidence that he did not embrace this option which was open to him, and if so would you like to present it here? If not, I suggest you do not post further distractions.",0
"""

EXCUSE ME PLEASE TAKE A MOMENT AND READ SOME INFO ABOUT ME BELOW AND THINK TWICE ABOUT WHAT YOU SAID ABOUT ME!!!

Oswald King
HOMETOWN New York City, NY

MEMBER SINCE DAY 1

[edit] ABOUT Mr. King
The name is Oswald King don't piss me off and you will be just fine. You mess around with me I will shut you down and if you don't think I'm serious TRY ME BIATCH!!! Lived in NYC all my life been almost all over the world. just remember you don't mess with me I don't mess with you feel free to email anytime any day this is my email > oswald_king24@yahoo.com <

OSWALD KING

Retrieved from """"http://en.wikipedia.org/wiki/User:Oswald_King""""""",0
"I did not forge anyoones signature. I copied and pasted something from his archives so unblock me. 
What Are You GoinG 2 Do AbouT AcuMAn???
I take it your an admin. What are you going to do about this guys racist edits. He has me pissed. I looked at his contributions they are all negative and he is trying to portray a bad image of Mid-Eastern people. I even saw racist comments. I am really pissed with this guy. I see what he is trying to do. Make Arabs and Iranians fight each other. It is low I tell you just like the foreign policy of Israel.",0
There is a mention of Quiche at the beginning...,0
"Nuh-uh, I see track loaders used a lot more on basements than excavators because they're faster (bucket is bigger). 30 houses were just built down my street and a track loader was used on all the basements. I'm going to fix it so it says that there are track loaders too.",0
"May 2008 (UTC)

Wolfkeeper, the paragraph covered centrifugal force and nobody had objected to it when somebody else inserted it. It was only because I re-inserted it, after Anome deleted it in conjunction with his nonsense political centrifugal force idea, that you deleted it.

I get warnings in my tray not to accuse people of wikistalking even though it's quite permissible to go to the administrator's noticeboard and file a complaint of wikistalking.

You lot have broken the rules so many times that you can't be taken seriously.

You are a wikistalker if ever there was a wikistalker. And so is PeR. You are both top grade wikistalkers. And so are Anome and SCZenz.

Now if you don't like being exposed to the truth, then go ahead and do the honours, but I can assure you that you are a wikistalker.

It wouldn't matter what I put in the main article, whether it was sourced or not. You would routinely come along and delete it on the basis of a lie in the full knowledge that you are being supported by a crowd. You have a chip on your shoulder because you have been pushing a nonsense theory that has been exposed.   06:19, 30",0
"Vandalizing the Macedonian towns 

Glenn, first of all the Freestylefrappe is not TERSELY saying, he has already blocked me without any warning. Have you seen his version of Kumanovo article? He is talking only about murdering, blood, terrorism and nothing about the city normal life. Of course, there were moments in the Kumanovo’s history when a terrorist attacks took place, but Kumanovo is most of the time a quiet ordinary Macedonian town that doesn’t deserve such descriptions.  It is the same as if you write an article about London not mentioning St Paul’s catedral, Westminster, Tower bridge.. and writing only about recent terrorist attacks in the London underground. Talking about copyvios, I noticed that FreeStyleFrappe is using text written by Christopher Deliso You can check that on:
http://www.serbianna.com/columns/deliso/
http://www.popovashapka.com/terrorist_bombing_in_kumanovo.htm

Are you sure he has permit for doing that? Of course, I will not stay calm until he stops vandalizing the Macedonian towns.",0
If you delete that again then you only prove my point.,0
"Winston Churchill
In her autobiography, Barrymore makes no mention of a marriage proposal from Churchill to her. She writes many times of their close friendship, but that is all. Seeing as she has been very forthcoming as to her personal life, and yet ignores a so-called marriage proposal from WC, I feel it was best to remove that item from her Wiki and instead mention the friendship. Unless a crediable source for such a proposal can be quoted to the satisfaction of all concerned, I believe the current edit should remain as is.

Also, as to her meeting her husband, I removed what was there and used her own memoir as the source for how they met.",0
"""

Alinor, the author, Elior Levy, is the only person in the YNet piece who even employed the term """"declaration"""". The term """"unilateral"""" does not appear in the YNet piece and the Eurasia Review article doesn't mention a """"unilateral declaration"""" at all. I notice that you quoted an editorial comment from Amira Hess the other day as if she were the spokesperson of the Palestinian government. Now you are quoting Elior Levy instead of the Palestinian who was interviewed. The use of the term """"unilateral"""" in article talk space when neither source mentions that word wasn't bordering on WP:CRYSTAL. Its was over the line WP:Synth.   """,0
""":And A """"SINGLE TOPIC"""" poster who has never posted on any other issue .  

""",0
"Hi, I just cited a previous comment by you in that CFD, and hope this is not objectionable. 
I just read  (talk)",0
""" 
One photo per subsection of """"History"""" is probably appropriate, but not more than that. There is a link to Wikimedia Commons at the bottom of the article. –projectors– 

 Semi-protected edit request on 2 January 2014 

  Megster1012
 Not done: please make your request in a """"change X to Y"""" format. (I presume this request is referring to the """"Photos"""" section directly above, but I'd still need some suggested photos before I could consider this request further. Perhaps look in commons:One Direction for suggestions?)   

 Semi-protected edit request on 7 January 2014 

  
 Not done: please make your request in a """"change X to Y"""" format. No specifics has been mentioned.'''''''''' """,0
There's still the minor issue that I have been indefinitely blocked for pointing out that edit and others to a Wikipedia administrator.,0
"Just in case, I think the best approach for now would be to comment out the empty sections.
 00:50, 2005 Mar 14 (UTC)",0
"""

 Please do not vandalize pages, as you did with this edit to Teleological argument. If you continue to do so, you will be blocked from editing.  WS (contribs) """,0
No-one disagrees with my intention to remove the said sentence. I will thus proceed to remove it.195.23.41.216,0
"By the way, can I remove the accusation notice from my user page?",0
"The statement about Scott's refusal comes from the 1911 Britannica article, and the evaluation there does sound rather negative and some other points of view would be useful, and indeed another has been added, but the Hayley quote would be an interesting addition as well if you have a source (book, article, authoritative web page) for it.  Advice on making your additions:  provide a verifiable citation for statements you make following the examples already in the article.  If you don't have a verifiable citation, it is probably best to leave the statement here on the talk page until one is found.  You may have to do minor edits to the other text to make your new text fit in.  Do your best, but if it's not perfect I'm sure someone else will give their attention to it at some point.  Don't let imperfection prevent a verifiable addition that is worthwhile in your eyes.  Look at the Help pages for more advice.",0
Please...do you have to waste your time to stupid messages like this one? I can switch to IP from another country in one minute. 177.47.116.74,1
"Renowned 

I didn't want to make edits to the opening paragraph willy-nilly, cause i know a lot of people are working hard to get this page back on its feet.  I just think that Dawkins should be called a renowned atheist and biologist, since, for the purposes of this book, it is more central that he is an atheist as opposed to a biologist.",0
"Moreover, why would you add a space, a second comma and another space after an already-existing comma in the beginning of a sentence?",0
"""

 Please show some consideration on my page user:99.251.114.120 

You have continually and repeatedly reverted information on my user page. I have offered discussion and reasons and you still persist with no explanations given on any talk page or in your edit history comments. Do you have any offer of information, help or explanation for this vandal type behaviour?

Here is the entry you continually revert:

. 

 Later I responded, to your deletions, on the same page. 

 Vandalism on this page  
This entry has been removed by an editor without reason in the history. Further attempts to conceal events are considered vandalism. Please do not remove factual information and adhere to WP:Policies. Policies apply to all editors and you are not """"above the law"""". 

Please demonstrate some consideration. 99.251.114.120   

Then you deleted my polite requests from my user page. This appears to aclear case of vandalism.

I have requested you stop this behavior and yet you continue to act in a harrassing manner on my page with your edits. Is it necessary to carry this complaint further or will you rectify these actions? 99.251.114.120  """,0
if you want to sy something say it to my page.,0
Content and link added.,0
"""

On Dec 9, Tagishsimon listed Image:Dsc00003.jpg on ifd. On Dec 11, you wrote """"Somebody deleted this, but there is no record in the deletion log or in the deleted edits (is this a bug?). Please leave this listing here until somebody figures out what happened.""""

Did you ever find out what happened? If not, you may want to move your question somewhere else. (Everything on the page is normally deleted after seven days.)  –  (talk) ()[[]] 20:15, Dec 16, 2004 (UTC)""",0
"""

Not to forgot the """"spring creek blows"""" on the bottom of the page.  -_-'  170.215.88.205  Anon""",0
"go suck a dick 

please 71.178.201.4",1
"Materialscientist is a racist

Seriously, fuck you man. You continuously delete my photos on the page of Al-Mayassa bint Hamad bin Khalifa Al-Thani, which are all posted with the correct CreativeCommons Share-alike 2.0 or 3.0 license... because you're a racist and the Sheikha appears uncovered in these pictures. When I posted photos of Arab males... you do not challenge them what so ever. 

Luckily, I can continue to live my life in the happy company of many friends, family and colleagues... not stationed at a computer 24/7. You're a loser who spends his entire life editing Wikipedia and probably has nothing to show for it. At the end of my life, I'll have had a purpose... a career, family, things I am proud of. You'll just be dust and completely irrelevant to the world... having never done anything more than edited a website.",1
"Look Xwomanizerx, Britney Spears does not know you.  Take your hands of your keyboard, go outside and try to find yourself a real woman.  Britney already has enough crazy fans chasing her - no wonder she started doing crazy things: getting married for 55 hours, driving a car with her son on her lap, shaving her head, getting tattoos, taking illicit substances, refusing to relinquish custody of her sons.  Crikey - how many women are 29 years old and have mommy and daddy controlling her assets because she is not capable of doing so herself.  Do her a favor, leave the poor girl alone.",0
"Tesla Motors Inc (NASDAQ:TSLA) founder’s SpaceX Got Investment of $1 billion From Google Inc (NASDAQ:GOOGL) & Fidelity says that Google's share of SpaceX is now 7.5%, with Fidelity having 2.5%; company at $10 billion valuation.",0
""" 2014 (UTC)

Comments
This is the first article I nominate to GA-review, please tell me if I miss anything. walk victor falk talk 

What about those taken prisoner by the British/Allies in the Middle East. Also those who refused to join the Free French in Britain and were repatriated back to France.?   
I respect this point, but we're talking about close on two million people in prisoner of war camps in Germany. That's what the scholarship covers and it's that which is covered by reliable sources establishing notability. Everything else, a tiny fraction by comparison, is generally only mentioned as a footnote to a general history of the campaign. Yes, French soldiers were probably taken prisoner from Indochina to Britain, North Africa to the Middle East. But they pale into insignificance when compared with the 2 million in Germany and this is why all the titles on the bibliography talk about French prisoners but only deal with the German-held ones. So I see your point, but I can't really do anything about it. It just isn't out there. '  
  Yesterday I was editing Free_France#Syria_and_East_Africa, and as it mentioned how only 5000 out of 40000 chose to join Free France while the rest wanted to be rapatriated, my immediate spontaneous/instinctive reaction was to wish for something like [[French WWII POWs#Vichy prisoners]] to target in this article. However, as  notes, some probably existed but their numbers are vanishlingly small and the result of special circumstances, such as beeing spies, obvious traitors & collaborators and suchlike that does not fall in what is considered a POW by international conventions; For the allies, rank and file Vichy troops were always offered a choice of repatriation, no questions asked, and their incarceration as POWs always a temporary affair.  I can think that more conventional perhaps such existed as Axis and especially Japanese ones after the coup in March 1945 eliminated any fiction of Vichy rule in Indochina, but sources about that might be very elusive to find; and anyway, probably more within the scope of the """"POWs held by the Japanese"""" wikipedia article. At the most, a short sentence summarising the above might be added somewhere, to dispell the same curiosity from readers that you've shown. walk victor falk talk 

 Reviewer seems to be active on Wikipedia but has not done anything to this review in almost 2 weeks. If no progress is made within the next 3 days (72 hours), I will close the review. (talk) 
 I'm here & will be for the rest of the week at least. walk victor falk talk 
Just for future use, when you add a ping without any text, it will not go through. The template is a little picky as you need to add the ping AND some sort of text after it all in one edit for it to work. (talk) 
, still no start on the review (? '  09:21, 11 June""",0
I’m so sorry that I have been constantly accused of using sock puppetry (among other things). First I was accused by,0
"So much talk, yet little debate on the subject at hand. I guess I was right on that account after all.",0
"Dictionary definitions
I've noticed that you're creating a lot of very short dictionary definitions as articles. I'm sorry, but they don't belong here: see Wikipedia:What Wikipedia is not#Wikipedia is not a dictionary. The proper place for them is Wikitionary.  | Talk",0
"Beaver Co. PA markers 

There are only two possibilities for the marker you showed me: it is either a local marker or the PHMC database is incomplete. After combing through the PHMC database, I have to say it seemed very up-to-date and complete, even listing very old missing markers.The shape and design of that marker suggests it is either not a PA state historical marker or it is a very old one. My guess is that it would be a local marker.",0
I'm listening (don't you love Fraser?) - Kevin.,0
or edited and reinserted to the main paragraph,0
"So enterprising of you Pm_shef. I wonder where you get this drive to fight your father's fights. 

I see you are following Bearcat's request of not being involved in Vaughan politics very closely. And how the admin user:Bearcat is enforcing that npov rule. It must be WikiHeaven. VaughanWatch",0
"Message received 

RJD, THIS IS VASCO AGAIN...

Message received, do not know if you already read mine, it is well explained and clear, I AM NOT A VANDAL, ONLY TRYING TO HELP!!!

VASCO AMARAL,",0
"""

 Unprotected 
I'm going to edit based on my comments in Talk:New_anti-Semitism#Sourcing_claims_for_.22Country-specific_incidents so could we discuss them now?  

All the incidents mentioned are regarded as examples of the new anti-Semitism i.e. coming from the left, related to radical anti-Zionism etc.  (talk) 

They may well be, but they are not sourced that way.  

I don't think we can expect the words """"new anti-Semitism"""" to appear in every single report we reference. We've defined it, and we've linked to many sources who are defining it. The definition is:

It is a form of Judenhass that emanates from the left. It is characterized by the demonization of the world's only Jewish state and of Jews as an ethnicity and a religion. Israel's right to exist as an equal member of the world community is denied. The Jewish people's right of self-determination is denied. Double standards are applied, whereby the actions of the Jewish state are judged according to a different standard from the actions of all the neighboring states around her. Jews as a people are held collectively responsible for the actions of the Jewish state. Symbols and images associated with classic anti-Semitism are used: for example, blood libels are resurrected, the Jewish state and Jewish people are associated with wild conspiracy theories involving Jews or Zionists or Israelis plotting to take over the world, or being in control of other governments, or being responsible behind the scenes for various acts of terror mistakenly attributed to others. Arab and Islamic anti-Semitism are excused and ignored. Straw-man attacks are made, whereby Jews are alleged to claim that any criticism of Israel is anti-Semitism, and that is then used to condemn Jewish groups as unreasonable, and to deny that there is any such thing as the """"new anti-Semitism."""" All of the above is accompanied by an international resurgence of violence against Jews and their synagogues and schools, particularly in Europe. It is found in conjunction with anti-Americanism (because Jews are believed either to control or be too influential with the American government), anti-Zionism, and the anti-globalization movement.

All the authoritative sources who have written about the phenomenon agree that these are the key components, so when we find them, we can offer them as examples, so long as someone has discussed them in terms of anti-Semitism or attacks on Jews.  (talk) 

My worry is that Livingstone has not been (at least in the sources provided) accused of anti-semitism, and that most of the discussion of Galloway has nothing to do with the allegation of anti-semitism against his supporters.  Add to that that we appear to be accusing them of anti-semitism (not reporting others allegations), which is OR (and unwise in the case of Galloway).  The NUS thing is a bit ephemeral but has been discussed in terms of new anti-semitism so I'd just want to tidy that up.  

Livingstone has very definitely been accused of anti-Semitism (got into quite a bit of trouble recently over it), as has Galloway, and without question his supporters. The section talks about it in relation to that election. By all means go ahead and clean it up as you see fit, and we can talk later if there are any disagreements.  (talk) 

Slim, whose definition is this?   

All the sources put together. The above are the issues they agree on. It was posted weeks ago.  (talk) 

I think you mean """"all the sources from one side of the argument put together"""".  It's been a while since we discussed this, so could you remind me as to which sources you consider authoritative?   
Sorry, you'll have to look in the archives; they're either there or in the article. By """"all the sources,"""" I mean all the sources who study new anti-Semitism. The above are the elements they appear to agree on.  (talk) 
I'm asking you which sources you consider to be authoritative.  Please respond.  [[User:C",0
"Signing up to another Wikipedia 

I may want to join the Wikipedia in another language (Kernewek) and am unsure whether to do this under the identical user name / password or different ones (my knowledge of that language is quite limited but the contributors will all understand English. I know there is a set of gradings for knowledge of languages but the languages I have learnt are not very good anymore: written French is not too bad.",0
OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET!OH BOB SAGET![[''',0
"""

 Re: Your AfC (TaxSlayer) 

Your article submission has been declined, and Wikipedia talk:Articles for creation/TaxSlayer was not created. Please view your submission to see the comments left by the reviewer, and please feel free to resubmit once the issues have been addressed. (You can do this by adding the text {{subst:AFC submission/submit}} to the top of the article.) Thank you for your contributions to Wikipedia! |Talk to me! """,0
"Thanks for following up with me.
If the material could be sourced mostly through independent sources, then there should be little problem with it.  However, you should take a look at WP:COI.
The best approach would be to discuss it on the article talk page, providing some independent sources and proposing information to add to the article.",0
"Reference Section

The Reference section of this page needs to be cleaned up from reference number 7 on.",0
"Type of Aircrat ==

I'm also a nit-picking Marine, and all sources point to the fact that James Stockdale flew F-8s, not A-4Es like John McCain did.

==",0
"WWE Network
A wrestling site is not a good source",0
"""

Thank you for the silky creature, written with """"the world's leading authority on this species"""", - precious again! - If you have articles to be reviewed for GA or FA qualities, feel free to add them on WP:QAIPOST, also post there whatever you think would article quality in general.   """,0
"""

Why did you delete the one source that we've been talking the most about? Why do you want to hide the truth from readers? The concepts of qi and meridians are very contentious, because they don't exist from a reductionist, disectionist, Western medical science point of view. 

Do you want to know what meridians are? Every type of tissue, muscle fiber, etc, is wrapped up and enclosed in fascia. Meridians are the spaces in between these fascia, you are never going to """"find"""" them by cutting bodies apart and looking at them in a microscope. They are the nothingness that provides function, as in verse 11 of the Tao Te Ching 
""""Thirty spokes converge
In the hub of a wheel;
But the use of the cart
Will depend on the part
On the hub that is void.

With a wall all around
A clay bowl is molded;
But the use of the bowl
Will depend on the part
Of the bowl that is void.

Cut out windows and doors
In the house as you build;
But the use of the house
Will depend on the space
In the walls that is void

So advantage is had
From whatever is there;
But usefulness arises
From what is not.""""

These interfascial spaces have increased salt concentrations and thus increased electro-conductivity properties, and it is the manipulation of the bioelectrochemical energy (i.e. """"qi"""") in these spaces which acupuncture seeks to accomplish.

Now yes, this is original research on my behalf, and cannot be included in the text. But the SOURCE which is suggestive of such MUST be included in the text: http://onlinelibrary.wiley.com/doi/10.1002/bem.20403/abstract;jsessionid=58BB2FDAA1322DB50ADB06D305F41969.d03t04   """,0
"""

 John F. Kennedy 

""""Without debate, without criticism, no Administration and no country can succeed — and no republic can survive. That is why the Athenian lawmaker Solon decreed it a crime for any citizen to shrink from controversy. And that is why our press was protected by the First Amendment — the only business in America specifically protected by the Constitution — not primarily to amuse and entertain, not to emphasize the trivial and the sentimental, not to simply """"give the public what it wants"""" — but to inform, to arouse, to reflect, to state our dangers and our opportunities, to indicate our crises and our choices, to lead, mold, educate and sometimes even anger public opinion.""""  """,0
"Mariah-Yulia, did you received e-mail I send you yesterday?",0
"""

Speedy deletion of Ohio National Financial Services
 A tag has been placed on Ohio National Financial Services, requesting that it be speedily deleted from Wikipedia per CSD G12. 

Under the criteria for speedy deletion, articles that do not meet basic Wikipedia criteria may be deleted at any time. Please see the guidelines for what is generally accepted as an appropriate article, and if you can indicate why the subject of this article is appropriate, you may contest the tagging. To do this, add  on the top of the article and leave a note on the article's talk page explaining your position. Please do not remove the speedy deletion tag yourself, but don't hesitate to add information to the article that would confirm its subject's notability under the guidelines. 

If you think that this notice was placed here in error, you may contest the deletion. To do this, add  on the top of the page (just below the existing speedy deletion or """"db"""" tag) and leave a note on the page's talk page explaining your position. Please do not remove the speedy deletion tag yourself. -  (Talk to me) """,0
